,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
0,36.500746,-86.8824404,1303 Memorial Blvd,Springfield,TN,37172,Robertson County,47147,both
1,36.5943443,-87.2874719,3067 Wilma Rudolph Blvd,Clarksville,TN,37040,Montgomery County,47125,both
2,36.5093906,-87.2741553,2237 Madison St,Clarksville,TN,37043,Montgomery County,47125,both
3,36.6262291,-87.3182514,3920 Trenton Road,Clarksville,TN,37040,Montgomery County,47125,both
4,36.5394741,-87.36546,965 N Riverside Dr,Clarksville,TN,37040,Montgomery County,47125,both
5,36.6383586,-87.4358364,3325 Fort Campbell Blvd,Clarksville,TN,37042,Montgomery County,47125,both
6,36.4696898,-86.6786173,"301 White House Crossing Way, Suite A",White House,TN,37188,Robertson County,47147,both
7,36.32392,-86.7015517,912 Conference Drive,Goodlettsville,TN,37072,Davidson County,47037,both
8,36.0841492,-86.6467602,2350 Murfreesboro Pike,Nashville,TN,37217,Davidson County,47037,both
9,35.9993026,-86.5958723,515 Waldron Rd,La Vergne,TN,37086,Rutherford County,47149,both
10,36.080414,-86.7271574,4097 Nolensville Pike,Nashville,TN,37211,Davidson County,47037,both
11,35.9818849,-86.555194,489 Sam Ridley Pkwy W,Smyrna,TN,37167,Rutherford County,47149,both
12,36.1493416,-86.6668929,2750 Elm Hill Pike,Nashville,TN,37214,Davidson County,47037,both
13,35.9732173,-86.4946128,582 Enon Springs Rd E,Smyrna,TN,37167,Rutherford County,47149,both
14,35.9303938,-86.5333999,1901 Almaville Rd.,Smyrna,TN,37167,Rutherford County,47149,both
15,36.1887754,-86.6291689,3400 Lebanon Pike,Hermitage,TN,37076,Davidson County,47037,both
16,36.1747315,-86.5126226,245 N Mt Juliet Rd,Mt Juliet,TN,37122,Wilson County,47189,both
17,36.194412,-86.7429822,1779 Gallatin Rd N,Madison,TN,37115,Davidson County,47037,both
18,36.1780038,-85.9482982,106 Bradford Blvd,Gordonsville,TN,38563,Smith County,47159,both
19,35.9560215,-85.8113016,510 South Congress Blvd.,Smithville,TN,37166,DeKalb County,47041,both
20,36.185116,-86.296961,813 S Cumberland,Lebanon,TN,37087,Wilson County,47189,both
