,zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population
16241,37010,STANDARD,0,Adams,,,TN,Montgomery County,America/Chicago,"615,931",,US,36.58,-87.06,5440
16242,37011,PO BOX,0,Antioch,,,TN,Davidson County,America/Chicago,615,,US,36.04,-86.64,1107
16243,37012,STANDARD,0,Alexandria,,,TN,DeKalb County,America/Chicago,,,US,36.07,-86.03,1970
16245,37014,STANDARD,0,Arrington,,Triune,TN,Williamson County,America/Chicago,615,,US,35.88,-86.63,2420
16246,37015,STANDARD,0,Ashland City,,,TN,Cheatham County,America/Chicago,615,,US,36.27,-87.05,16340
16247,37016,STANDARD,0,Auburntown,,,TN,Cannon County,America/Chicago,,,US,35.94,-86.09,830
16248,37018,STANDARD,0,Beechgrove,,,TN,Coffee County,America/Chicago,931,,US,35.64,-86.2,1900
16249,37019,STANDARD,0,Belfast,,,TN,Marshall County,America/Chicago,931,,US,35.4,-86.71,830
16250,37020,STANDARD,0,Bell Buckle,,,TN,Bedford County,America/Chicago,"931,615",,US,35.59,-86.35,4810
16251,37022,STANDARD,0,Bethpage,Rock Bridge,,TN,Sumner County,America/Chicago,615,,US,36.5,-86.3,5210
16252,37023,STANDARD,0,Big Rock,,,TN,Stewart County,America/Chicago,931,,US,36.59,-87.78,1480
16253,37024,PO BOX,0,Brentwood,,,TN,Williamson County,America/Chicago,615,,US,35.99,-86.78,888
16254,37025,STANDARD,0,Bon Aqua,,,TN,Hickman County,America/Chicago,615,,US,35.94,-87.34,5700
16255,37026,STANDARD,0,Bradyville,,,TN,Cannon County,America/Chicago,615,,US,35.69,-86.1,2090
16257,37028,STANDARD,0,Bumpus Mills,,,TN,Stewart County,America/Chicago,931,,US,36.62,-87.85,570
16258,37029,STANDARD,0,Burns,,,TN,Dickson County,America/Chicago,615,,US,36.05,-87.31,5850
16259,37030,STANDARD,0,Carthage,"Defeated, S Carthage, So Carthage, South Carthage",Mc Clures Bend,TN,Smith County,America/Chicago,615,,US,36.25,-85.94,6090
16260,37031,STANDARD,0,Castalian Springs,Castalin Spgs,Castalian Spg,TN,Sumner County,America/Chicago,,,US,36.38,-86.31,3920
16261,37032,STANDARD,0,Cedar Hill,,,TN,Robertson County,America/Chicago,"615,931",,US,36.55,-87.0,4380
16262,37033,STANDARD,0,Centerville,Pleasantville,"Aetna, Coble, Fairfield, Grinders, Shipps Bend",TN,Hickman County,America/Chicago,931,,US,35.79,-87.44,6150
