,Unnamed: 0,Latitude,Longitude,Main Address,City,State,Zip Code,County,FIPS,_merge
0,0,36.048729,-86.651974,5301 Hickory Hollow Ln,Antioch,TN,37013,Davidson County,47037,both
1,1,36.060934,-86.629187,3035 Hamilton Church Rd,Antioch,TN,37013,Davidson County,47037,both
2,2,36.079458,-86.645302,2499 Murfreesboro Pike,Nashville,TN,37217,Davidson County,47037,both
3,3,36.00004,-86.595715,505 Waldron Rd,La Vergne,TN,37086,Rutherford County,47149,both
4,4,36.020728,-86.576885,5147 Murfreesboro Rd,La Vergne,TN,37086,Rutherford County,47149,both
5,5,35.997575,-86.689994,6720 Nolensville Pike,Brentwood,TN,37027,Davidson County,47037,both
6,6,36.046573,-86.712866,5744 Nolensville Rd,Nashville,TN,37211,Davidson County,47037,both
7,7,36.086377,-86.694864,331 Harding Pl,Nashville,TN,37211,Davidson County,47037,both
8,8,36.273104,-87.062253,255 S Main St,Ashland City,TN,37015,Cheatham County,47021,both
9,9,35.446775,-86.775723,141 N Ellington Pky,Lewisburg,TN,37091,Marshall County,47117,both
10,10,35.966174,-86.810918,1704 Galleria Blvd,Franklin,TN,37064,Williamson County,47187,both
11,11,36.035422,-86.791678,109 E Park Dr,Brentwood,TN,37027,Williamson County,47187,both
12,12,35.945412,-86.82375,653 Frazier Dr,Franklin,TN,37067,Williamson County,47187,both
13,13,36.040893,-86.745035,410 Old Hickory Blvd,Brentwood,TN,37211,Davidson County,47037,both
14,16,36.022556,-87.338021,1005 Christi Rd,Dickson,TN,37055,Dickson County,47043,both
15,17,36.076406,-87.375958,111 Mathis Dr,Dickson,TN,37055,Dickson County,47043,both
16,18,36.260838,-85.951869,11 Dixon Springs Hwy,Carthage,TN,37030,Smith County,47159,both
17,19,36.180251,-85.947097,481 Gordonsville Hwy,Gordonsville,TN,38563,Smith County,47159,both
18,20,35.834476,-87.433704,1743 Hwy 100,Centerville,TN,37033,Hickman County,47081,both
19,21,35.724352,-86.319229,6137 Epps Mill Rd,Christiana,TN,37037,Rutherford County,47149,both
20,22,36.539805,-87.365181,792 N 2nd St,Clarksville,TN,37040,Montgomery County,47125,both
21,23,36.514892,-87.300482,1921 Madison Ext,Clarksville,TN,37040,Montgomery County,47125,both
22,24,36.596285,-87.287348,3078 Wilma Rudolph Blvd,Clarksville,TN,37040,Montgomery County,47125,both
23,25,36.576725,-87.408928,1644 Fort Campbell Blvd,Clarksville,TN,37040,Montgomery County,47125,both
24,26,36.624876,-87.317204,3891 Trenton Rd,Clarksville,TN,37040,Montgomery County,47125,both
25,29,36.627779,-87.432944,2961 Ft Campbell Blvd,Clarksville,TN,37042,Montgomery County,47125,both
26,30,36.523761,-87.225563,724 Sango Rd,Clarksville,TN,37043,Montgomery County,47125,both
27,32,35.30937,-86.879597,3685 Pulaski Hwy,Cornersville,TN,37047,Marshall County,47117,both
28,33,36.469421,-86.677994,856 Highway 76,White House,TN,37188,Robertson County,47147,both
29,37,36.479749,-87.888301,1505 Donelson Pky,Dover,TN,37058,Stewart County,47161,both
30,38,35.972451,-87.128348,2233 Fairview Blvd,Fairview,TN,37062,Williamson County,47187,both
